qid,did,q_x,q_y,d_x,d_y,ndcg_final,ndcg_dense,ndcg_delta,r@100
513,4705518,-4.1328,3.3532,7.5083,13.1073,0.2789,0.5000,-0.2211,1.0000
423,54789415,-3.7447,3.2955,7.0285,13.0905,0.1164,0.1164,0.0000,0.0000
777,40139437,-1.9808,3.4352,7.5565,11.4419,0.0000,0.0000,0.0000,0.0000
905,4055736,-2.7699,4.3565,9.1520,12.2506,0.0000,0.0000,0.0000,0.0000
1090,7292022,-3.6842,3.1634,9.1936,13.3873,0.1082,0.1082,0.0000,0.0000
641,2932845,-3.6307,4.3430,9.2763,12.9697,0.1303,0.1303,0.0000,0.0000
169,9482929,-2.4601,2.7354,8.2392,12.6407,1.0000,1.0000,0.0000,1.0000
449,576587,-4.3248,3.5894,8.5233,12.5851,0.0000,0.0000,0.0000,0.0000
913,697868,-3.9066,2.3203,8.1514,13.9086,0.1118,0.1118,0.0000,0.0000
773,53838229,-4.0705,2.5249,8.8699,11.5931,0.0000,0.0000,0.0000,0.0000
850,1840775,-2.8135,4.8042,8.1700,11.3104,0.1163,0.1163,0.0000,0.0000
1074,680435,-2.7254,1.9761,6.9903,13.3378,0.5000,0.2702,0.2298,1.0000
346,2726812,-2.2520,4.8034,7.7480,11.6489,0.1202,0.1202,0.0000,0.0000
492,37734068,-2.2562,3.0230,9.2691,11.9939,1.0000,0.6309,0.3691,1.0000
134,23299382,-2.9021,2.7603,8.8195,12.8876,0.3333,1.0000,-0.6667,1.0000
214,1141726,-3.4451,2.2517,6.9793,12.8253,0.3562,0.1596,0.1966,1.0000
761,4610981,-3.4319,3.9214,9.5191,11.7456,0.2891,1.0000,-0.7109,1.0000
309,685832,-4.1276,2.7622,7.1190,12.5001,0.0000,0.0000,0.0000,0.0000
458,6590245,-1.8505,3.2596,7.9660,11.6365,0.1054,0.1054,0.0000,0.0000
1068,19767434,-3.9441,2.3537,8.1611,13.9238,1.0000,0.3010,0.6990,1.0000
906,5569730,-3.6155,2.7553,7.8359,12.7710,0.0000,0.0000,0.0000,0.0000
552,13114104,-3.1287,4.7724,9.2947,11.6982,0.1325,0.1325,0.0000,0.0000
503,39150898,-2.5997,3.0447,8.8430,11.2025,0.1094,0.1094,0.0000,0.0000
157,34188375,-2.2393,3.9147,8.5732,11.5701,0.1025,0.1025,0.0000,0.0000
341,15112654,-2.5116,1.9634,7.4345,12.9100,0.6309,0.6309,0.0000,1.0000
1069,26007256,-3.4724,2.9846,8.8074,12.0337,0.6309,0.2038,0.4271,1.0000
868,2046012,-4.0231,2.2591,9.4388,12.9360,0.1073,0.1073,0.0000,0.0000
865,41105877,-2.7817,3.3715,8.6157,11.7848,0.1281,0.1281,0.0000,0.0000
885,746606,-4.2493,3.1810,7.8228,13.3147,0.0000,0.0000,0.0000,0.0000
535,1141726,-3.2568,2.1552,6.8825,12.8809,0.3869,0.1610,0.2258,1.0000
469,8328948,-2.0179,2.6695,8.0949,12.8121,0.1212,0.1212,0.0000,0.0000
609,2613497,-1.9881,2.4013,7.3441,11.7393,1.0000,0.1515,0.8485,1.0000
321,5242749,-2.0835,3.7823,8.0012,11.3268,0.1159,0.1159,0.0000,0.0000
428,53875003,-2.6442,4.2454,8.5150,11.1023,0.6309,0.2789,0.3520,1.0000
998,5525737,-2.5507,2.8957,9.0842,12.3127,0.0000,0.0000,0.0000,0.0000
1008,37397687,-3.5163,3.4293,9.2335,13.2899,1.0000,0.2891,0.7109,1.0000
311,430740,-3.2081,4.8697,6.9132,13.2350,0.0000,0.0000,0.0000,0.0000
556,44142534,-3.0358,4.4926,9.5881,12.0907,0.2702,0.2702,0.0000,1.0000
546,20777420,-2.7780,1.7650,6.7125,13.1514,0.0000,0.0000,0.0000,0.0000
737,28779779,-2.8984,3.9049,9.6955,12.4622,0.2277,0.2398,-0.0121,1.0000
299,155303,-3.2219,1.8592,7.1964,13.5670,0.6309,0.1616,0.4694,1.0000
568,2035081,-3.8168,3.1904,9.1436,13.3554,0.1700,0.2242,-0.0543,1.0000
365,27463222,-4.1504,3.6280,9.3230,12.1662,0.0000,0.0000,0.0000,0.0000
749,2671380,-3.8004,3.3067,7.4023,13.7513,0.0000,0.0000,0.0000,0.0000
1084,28715960,-4.0767,3.5691,9.8603,13.0058,0.1791,0.3869,-0.2078,1.0000
769,932424,-1.7057,2.8478,7.9802,13.1883,0.1137,0.1137,0.0000,0.0000
375,5465765,-2.7008,4.8066,8.3848,11.8538,0.3562,0.1754,0.1808,1.0000
660,217599,-2.9613,1.9234,7.1484,13.0500,0.1115,0.1115,0.0000,0.0000
735,14037329,-1.7398,4.0427,8.0628,11.2583,0.0000,0.0000,0.0000,0.0000
722,2334553,-2.4809,3.7102,7.9156,12.2068,0.1134,0.1134,0.0000,0.0000
